path,Text
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd12-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd22-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd1d-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd16-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd1e-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd17-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd13-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd0f-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd1a-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd15-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd0d-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd1c-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd18-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd21-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd11-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd0e-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd1b-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd10-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd19-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd20-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd14-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/2.1.CRVO/202efd1f-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/17.Myelinated nerve fiber/1ffa92c7-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/17.Myelinated nerve fiber/1ffa92c3-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/17.Myelinated nerve fiber/1ffa92ca-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/17.Myelinated nerve fiber/1ffa92c2-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/17.Myelinated nerve fiber/1ffa92c6-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/17.Myelinated nerve fiber/1ffa92cb-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/17.Myelinated nerve fiber/1ffa92c9-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/17.Myelinated nerve fiber/1ffa92c4-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/17.Myelinated nerve fiber/1ffa92c5-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/17.Myelinated nerve fiber/1ffa92c1-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/17.Myelinated nerve fiber/1ffa92c8-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa9671-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa9678-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa966d-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa9675-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa9674-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa9679-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa9670-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa966e-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa9676-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa966c-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa9672-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa966f-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa9673-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/5.0.CSCR/1ffa9677-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94f5-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94d2-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa9503-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94e5-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94ec-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94dd-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94fc-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94f1-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94e8-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94e1-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94d6-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa9507-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94f8-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94fb-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94eb-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94de-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94e0-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94d7-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa9506-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94f9-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94f0-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94e9-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94d3-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa9502-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94e4-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94f4-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94ff-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
/data2404/zhangchi/dataset/fundus/1000images/9.Pathological myopia/1ffa94da-8d87-11e8-9daf-6045cb817f5b..JPG,fundus
